Plant ID;Date (start);Meter;Interval;Value
CHGO;01/01/2023;Utility Statement;Monthly;5667853.83333
CHGO;01/02/2023;Utility Statement;Monthly;2445120.66667
CHGO;01/03/2023;Utility Statement;Monthly;4833379.16667
CHGO;01/04/2023;Utility Statement;Monthly;3319267.16667
CHGO;01/05/2023;Utility Statement;Monthly;2659841.08333
CHGO;01/06/2023;Utility Statement;Monthly;1069315.91667
CLA2;01/01/2023;Utility Statement;Monthly;1501855.5
CLA2;01/02/2023;Utility Statement;Monthly;682305.5
CLA2;01/03/2023;Utility Statement;Monthly;1346258.91667
CLA2;01/04/2023;Utility Statement;Monthly;742954.5
CLA2;01/05/2023;Utility Statement;Monthly;634867.41667
CLA2;01/06/2023;Utility Statement;Monthly;280147.83333
CLAM;01/01/2023;Utility Statement;Monthly;2711357.66667
CLAM;01/02/2023;Utility Statement;Monthly;1411172.83333
CLAM;01/03/2023;Utility Statement;Monthly;2601545.0
CLAM;01/04/2023;Utility Statement;Monthly;1458644.91667
CLAM;01/05/2023;Utility Statement;Monthly;1188329.75
CLAM;01/06/2023;Utility Statement;Monthly;518974.16667
CLAN;01/01/2023;Utility Statement;Monthly;4646873.66667
CLAN;01/02/2023;Utility Statement;Monthly;2626229.66667
CLAN;01/03/2023;Utility Statement;Monthly;4587096.58333
CLAN;01/04/2023;Utility Statement;Monthly;3022818.16667
CLAN;01/05/2023;Utility Statement;Monthly;2937394.58333
CLAN;01/06/2023;Utility Statement;Monthly;2224646.41667
CLIT;01/01/2023;Utility Statement;Monthly;666018.66667
CLIT;01/02/2023;Utility Statement;Monthly;390755.33333
CLIT;01/03/2023;Utility Statement;Monthly;625376.5
CLIT;01/04/2023;Utility Statement;Monthly;324047.66667
CLIT;01/05/2023;Utility Statement;Monthly;327614.33333
CLIT;01/06/2023;Utility Statement;Monthly;312015.58333
COLB;01/04/2023;Utility Statement;Monthly;570894.83333
COLB;01/05/2023;Utility Statement;Monthly;718301.33333
COLB;01/06/2023;Utility Statement;Monthly;840488.41667
CONI;01/01/2023;Utility Statement;Monthly;4314124.83333
CONI;01/02/2023;Utility Statement;Monthly;2680050.0
CONI;01/03/2023;Utility Statement;Monthly;3112920.33333
CONI;01/04/2023;Utility Statement;Monthly;3135996.41667
CONI;01/05/2023;Utility Statement;Monthly;3324698.83333
CONI;01/06/2023;Utility Statement;Monthly;2203667.16667
COT1;01/01/2023;Utility Statement;Monthly;3235301.5
COT1;01/02/2023;Utility Statement;Monthly;1673689.33333
COT1;01/03/2023;Utility Statement;Monthly;2797511.5
COT1;01/04/2023;Utility Statement;Monthly;1897833.66667
COT1;01/05/2023;Utility Statement;Monthly;2301495.5
COT1;01/06/2023;Utility Statement;Monthly;984328.66667
COT2;01/01/2023;Utility Statement;Monthly;3436064.5
COT2;01/02/2023;Utility Statement;Monthly;1590927.5
COT2;01/03/2023;Utility Statement;Monthly;3060201.91667
COT2;01/04/2023;Utility Statement;Monthly;1791923.16667
COT2;01/05/2023;Utility Statement;Monthly;1059307.0
COT2;01/06/2023;Utility Statement;Monthly;429157.75
COT3;01/01/2023;Utility Statement;Monthly;3178551.0
COT3;01/02/2023;Utility Statement;Monthly;1661106.16667
COT3;01/03/2023;Utility Statement;Monthly;2735246.08333
COT3;01/04/2023;Utility Statement;Monthly;1648094.0
COT3;01/05/2023;Utility Statement;Monthly;1505526.66667
COT3;01/06/2023;Utility Statement;Monthly;617118.5
COT4;01/01/2023;Utility Statement;Monthly;2303904.0
COT4;01/02/2023;Utility Statement;Monthly;1239347.83333
COT4;01/03/2023;Utility Statement;Monthly;2195921.0
COT4;01/04/2023;Utility Statement;Monthly;1456867.16667
COT4;01/05/2023;Utility Statement;Monthly;1390396.16667
COT4;01/06/2023;Utility Statement;Monthly;689993.33333
COUR;01/01/2023;Utility Statement;Monthly;2089138.66667
COUR;01/02/2023;Utility Statement;Monthly;1335015.16667
COUR;01/03/2023;Utility Statement;Monthly;3194180.75
COUR;01/04/2023;Utility Statement;Monthly;1794863.25
COUR;01/05/2023;Utility Statement;Monthly;1605007.58333
COUR;01/06/2023;Utility Statement;Monthly;975825.58333
DEM1;01/01/2023;Utility Statement;Monthly;2896380.5
DEM1;01/02/2023;Utility Statement;Monthly;1783701.83333
DEM1;01/03/2023;Utility Statement;Monthly;2785389.0
DEM1;01/04/2023;Utility Statement;Monthly;2012352.5
DEM1;01/05/2023;Utility Statement;Monthly;2048264.41667
DEM1;01/06/2023;Utility Statement;Monthly;1221749.83333
DEM2;01/01/2023;Utility Statement;Monthly;3464023.0
DEM2;01/02/2023;Utility Statement;Monthly;2256355.5
DEM2;01/03/2023;Utility Statement;Monthly;3486534.91667
DEM2;01/04/2023;Utility Statement;Monthly;2516275.08333
DEM2;01/05/2023;Utility Statement;Monthly;2546354.08333
DEM2;01/06/2023;Utility Statement;Monthly;1491965.41667
DIE2;01/06/2023;Utility Statement;Monthly;1748550.83333
DIJO;01/01/2023;Utility Statement;Monthly;416225.16667
DIJO;01/02/2023;Utility Statement;Monthly;1047282.83333
DIJO;01/03/2023;Utility Statement;Monthly;1507233.0
DIJO;01/04/2023;Utility Statement;Monthly;1860059.0
DIJO;01/05/2023;Utility Statement;Monthly;2202547.0
DIJO;01/06/2023;Utility Statement;Monthly;2572942.25
ERIZ;01/01/2023;Utility Statement;Monthly;2725914.66667
ERIZ;01/02/2023;Utility Statement;Monthly;1807838.5
ERIZ;01/03/2023;Utility Statement;Monthly;2528287.58333
ERIZ;01/04/2023;Utility Statement;Monthly;1356411.91667
ERIZ;01/05/2023;Utility Statement;Monthly;1248621.58333
ERIZ;01/06/2023;Utility Statement;Monthly;588119.75
ESPI;01/01/2023;Utility Statement;Monthly;1956160.83333
ESPI;01/02/2023;Utility Statement;Monthly;1119386.83333
ESPI;01/03/2023;Utility Statement;Monthly;1870391.75
ESPI;01/04/2023;Utility Statement;Monthly;1400348.41667
ESPS;01/01/2023;Utility Statement;Monthly;2146234.5
ESPS;01/02/2023;Utility Statement;Monthly;1871794.0
ESPS;01/03/2023;Utility Statement;Monthly;2785334.25
ESPS;01/04/2023;Utility Statement;Monthly;2191557.25
ESPS;01/05/2023;Utility Statement;Monthly;3518503.0
ESPS;01/06/2023;Utility Statement;Monthly;2049442.41667
EYGU;01/04/2023;Utility Statement;Monthly;1898366.16667
EYGU;01/05/2023;Utility Statement;Monthly;1822677.0
EYGU;01/06/2023;Utility Statement;Monthly;1875232.16667
FAYD;01/01/2023;Utility Statement;Monthly;1285688.16667
FAYD;01/02/2023;Utility Statement;Monthly;1381901.33333
FAYD;01/03/2023;Utility Statement;Monthly;2615525.58333
FAYD;01/04/2023;Utility Statement;Monthly;2383042.91667
FAYD;01/05/2023;Utility Statement;Monthly;1640972.0
FAYD;01/06/2023;Utility Statement;Monthly;1198454.08333
FECA;01/01/2023;Utility Statement;Monthly;876098.83333
FECA;01/02/2023;Utility Statement;Monthly;792897.33333
FECA;01/03/2023;Utility Statement;Monthly;1192838.16667
FECA;01/04/2023;Utility Statement;Monthly;620801.0
FECA;01/05/2023;Utility Statement;Monthly;916958.0
FECA;01/06/2023;Utility Statement;Monthly;770328.0
FEND;01/01/2023;Utility Statement;Monthly;186305.0
FEND;01/02/2023;Utility Statement;Monthly;425572.66667
FEND;01/03/2023;Utility Statement;Monthly;514844.08333
FEND;01/04/2023;Utility Statement;Monthly;608187.25
FEND;01/05/2023;Utility Statement;Monthly;624903.16667
FEND;01/06/2023;Utility Statement;Monthly;689810.58333
FIEN;01/01/2023;Utility Statement;Monthly;3178205.83333
FIEN;01/02/2023;Utility Statement;Monthly;2131732.33333
FIEN;01/03/2023;Utility Statement;Monthly;3805047.5
FIEN;01/04/2023;Utility Statement;Monthly;1935999.41667
FIEN;01/05/2023;Utility Statement;Monthly;1629753.08333
FIEN;01/06/2023;Utility Statement;Monthly;1672118.0
FITO;01/01/2023;Utility Statement;Monthly;3541805.5
FITO;01/02/2023;Utility Statement;Monthly;1758542.0
FITO;01/03/2023;Utility Statement;Monthly;2133342.0
FITO;01/04/2023;Utility Statement;Monthly;1909145.25
FITO;01/05/2023;Utility Statement;Monthly;2454254.33333
FITO;01/06/2023;Utility Statement;Monthly;1835502.41667
FOSS;01/01/2023;Utility Statement;Monthly;755744.5
FOSS;01/02/2023;Utility Statement;Monthly;1008273.83333
FOSS;01/03/2023;Utility Statement;Monthly;1401932.91667
FOSS;01/04/2023;Utility Statement;Monthly;1830721.25
FOSS;01/05/2023;Utility Statement;Monthly;1474121.91667
FOSS;01/06/2023;Utility Statement;Monthly;1764852.25
FRA1;01/01/2023;Utility Statement;Monthly;1296549.83333
FRA1;01/02/2023;Utility Statement;Monthly;1179028.33333
FRA1;01/03/2023;Utility Statement;Monthly;0.0
FRA1;01/04/2023;Utility Statement;Monthly;1113062.0
FRA1;01/05/2023;Utility Statement;Monthly;1335209.25
FRA1;01/06/2023;Utility Statement;Monthly;974189.58333
FRA2;01/01/2023;Utility Statement;Monthly;2491756.0
FRA2;01/02/2023;Utility Statement;Monthly;1650827.5
FRA2;01/03/2023;Utility Statement;Monthly;905457.16667
FRA2;01/04/2023;Utility Statement;Monthly;1888416.83333
FRA2;01/05/2023;Utility Statement;Monthly;1897104.83333
FRA2;01/06/2023;Utility Statement;Monthly;1324779.58333
FREY;01/01/2023;Utility Statement;Monthly;2982537.16667
FREY;01/02/2023;Utility Statement;Monthly;2600230.33333
FREY;01/03/2023;Utility Statement;Monthly;2871811.58333
FREY;01/04/2023;Utility Statement;Monthly;2267437.25
FREY;01/05/2023;Utility Statement;Monthly;2419231.16667
FREY;01/06/2023;Utility Statement;Monthly;1500103.25
GAB1;01/01/2023;Utility Statement;Monthly;383548.83333
GAB1;01/02/2023;Utility Statement;Monthly;914604.66667
GAB1;01/03/2023;Utility Statement;Monthly;925114.0
GAB1;01/04/2023;Utility Statement;Monthly;1088965.58333
GAB1;01/05/2023;Utility Statement;Monthly;1254000.83333
GAB1;01/06/2023;Utility Statement;Monthly;1121072.0
GAB4;01/01/2023;Utility Statement;Monthly;382326.66667
GAB4;01/02/2023;Utility Statement;Monthly;957798.0
GAB4;01/03/2023;Utility Statement;Monthly;962837.66667
GAB4;01/04/2023;Utility Statement;Monthly;910223.58333
GAB4;01/05/2023;Utility Statement;Monthly;1016312.0
GAB4;01/06/2023;Utility Statement;Monthly;1070843.0
GAB7;01/01/2023;Utility Statement;Monthly;73345.0
GAB7;01/02/2023;Utility Statement;Monthly;236024.83333
GAB7;01/03/2023;Utility Statement;Monthly;205676.91667
GAB7;01/04/2023;Utility Statement;Monthly;255809.0
GAB7;01/05/2023;Utility Statement;Monthly;263862.0
GAB7;01/06/2023;Utility Statement;Monthly;235753.66667
GABT;01/01/2023;Utility Statement;Monthly;72570.16667
GABT;01/02/2023;Utility Statement;Monthly;205673.16667
GABT;01/03/2023;Utility Statement;Monthly;219114.83333
GABT;01/04/2023;Utility Statement;Monthly;292013.25
GABT;01/05/2023;Utility Statement;Monthly;327885.75
GABT;01/06/2023;Utility Statement;Monthly;295957.41667
GAR1;01/01/2023;Utility Statement;Monthly;3003693.66667
GAR1;01/02/2023;Utility Statement;Monthly;1402114.66667
GAR1;01/03/2023;Utility Statement;Monthly;3006734.0
GAR1;01/04/2023;Utility Statement;Monthly;1706112.0
GAR1;01/05/2023;Utility Statement;Monthly;1635523.58333
GAR1;01/06/2023;Utility Statement;Monthly;926668.83333
GAR2;01/01/2023;Utility Statement;Monthly;2742946.83333
GAR2;01/02/2023;Utility Statement;Monthly;1234911.16667
GAR2;01/03/2023;Utility Statement;Monthly;2775179.16667
GAR2;01/04/2023;Utility Statement;Monthly;1593989.66667
GAR2;01/05/2023;Utility Statement;Monthly;1496078.75
GAR2;01/06/2023;Utility Statement;Monthly;826274.41667
GRGT;01/01/2023;Utility Statement;Monthly;429087.83333
GRGT;01/02/2023;Utility Statement;Monthly;968841.83333
GRGT;01/03/2023;Utility Statement;Monthly;1331665.25
GRGT;01/04/2023;Utility Statement;Monthly;1748874.66667
GRGT;01/05/2023;Utility Statement;Monthly;1876929.83333
GRGT;01/06/2023;Utility Statement;Monthly;2128291.33333
GRPL;01/01/2023;Utility Statement;Monthly;3509592.33333
GRPL;01/02/2023;Utility Statement;Monthly;1559620.0
GRPL;01/03/2023;Utility Statement;Monthly;3758965.66667
GRPL;01/04/2023;Utility Statement;Monthly;1847935.58333
GRPL;01/05/2023;Utility Statement;Monthly;2261282.41667
GRPL;01/06/2023;Utility Statement;Monthly;959219.58333
GUIL;01/01/2023;Utility Statement;Monthly;6435604.0
GUIL;01/02/2023;Utility Statement;Monthly;3402371.0
GUIL;01/03/2023;Utility Statement;Monthly;6031815.91667
GUIL;01/04/2023;Utility Statement;Monthly;3814401.5
GUIL;01/05/2023;Utility Statement;Monthly;3769073.16667
GUIL;01/06/2023;Utility Statement;Monthly;2071059.75
HAB1;01/01/2023;Utility Statement;Monthly;3635592.33333
HAB1;01/02/2023;Utility Statement;Monthly;1764278.66667
HAB1;01/03/2023;Utility Statement;Monthly;3365262.41667
HAB1;01/04/2023;Utility Statement;Monthly;1834513.16667
HAB1;01/05/2023;Utility Statement;Monthly;1812848.0
HAB1;01/06/2023;Utility Statement;Monthly;1098186.0
HAB2;01/01/2023;Utility Statement;Monthly;3063836.0
HAB2;01/02/2023;Utility Statement;Monthly;1519565.5
HAB2;01/03/2023;Utility Statement;Monthly;2850901.16667
HAB2;01/04/2023;Utility Statement;Monthly;1508255.25
HAB2;01/05/2023;Utility Statement;Monthly;1391458.75
HAB2;01/06/2023;Utility Statement;Monthly;844939.58333
HENI;01/01/2023;Utility Statement;Monthly;1896097.83333
HENI;01/02/2023;Utility Statement;Monthly;855647.5
HENI;01/03/2023;Utility Statement;Monthly;1736112.25
HENI;01/04/2023;Utility Statement;Monthly;895940.58333
HENI;01/05/2023;Utility Statement;Monthly;703278.16667
HENI;01/06/2023;Utility Statement;Monthly;310544.0
HERO;01/01/2023;Utility Statement;Monthly;1057895.5
HERO;01/02/2023;Utility Statement;Monthly;839582.33333
HERO;01/03/2023;Utility Statement;Monthly;2236299.58333
HERO;01/04/2023;Utility Statement;Monthly;1047439.66667
HERO;01/05/2023;Utility Statement;Monthly;1233909.16667
HERO;01/06/2023;Utility Statement;Monthly;729761.16667
JADE;01/01/2023;Utility Statement;Monthly;2495177.5
JADE;01/02/2023;Utility Statement;Monthly;1179995.33333
JADE;01/03/2023;Utility Statement;Monthly;2355595.16667
JADE;01/04/2023;Utility Statement;Monthly;1655893.25
JADE;01/05/2023;Utility Statement;Monthly;1438206.41667
JADE;01/06/2023;Utility Statement;Monthly;806262.75
JON2;01/01/2023;Utility Statement;Monthly;1181021.83333
JON2;01/02/2023;Utility Statement;Monthly;857444.16667
JON2;01/03/2023;Utility Statement;Monthly;1125245.83333
JON2;01/04/2023;Utility Statement;Monthly;1095318.08333
JON2;01/05/2023;Utility Statement;Monthly;873046.08333
JON2;01/06/2023;Utility Statement;Monthly;321817.91667
JONC;01/01/2023;Utility Statement;Monthly;3314674.33333
JONC;01/02/2023;Utility Statement;Monthly;1756956.33333
JONC;01/03/2023;Utility Statement;Monthly;1854260.41667
JONC;01/04/2023;Utility Statement;Monthly;1977637.58333
JONC;01/05/2023;Utility Statement;Monthly;1592121.16667
JONC;01/06/2023;Utility Statement;Monthly;689992.83333
LAGN;01/01/2023;Utility Statement;Monthly;88057.5
LAGN;01/02/2023;Utility Statement;Monthly;246202.5
LAGN;01/03/2023;Utility Statement;Monthly;270835.75
LAGN;01/04/2023;Utility Statement;Monthly;316007.66667
LAGN;01/05/2023;Utility Statement;Monthly;358476.83333
LAGN;01/06/2023;Utility Statement;Monthly;440252.83333
LANE;01/01/2023;Utility Statement;Monthly;2788928.83333
LANE;01/02/2023;Utility Statement;Monthly;1558443.5
LANE;01/03/2023;Utility Statement;Monthly;2438446.0
LANE;01/04/2023;Utility Statement;Monthly;1439908.5
LANE;01/05/2023;Utility Statement;Monthly;969199.5
LANE;01/06/2023;Utility Statement;Monthly;399884.33333
LAPI;01/01/2023;Utility Statement;Monthly;2476806.83333
LAPI;01/02/2023;Utility Statement;Monthly;1187535.16667
LAPI;01/03/2023;Utility Statement;Monthly;1519491.25
LAPI;01/04/2023;Utility Statement;Monthly;1148651.58333
LAPI;01/05/2023;Utility Statement;Monthly;1046367.58333
LAPI;01/06/2023;Utility Statement;Monthly;626166.0
LBDF;01/01/2023;Utility Statement;Monthly;2087772.33333
LBDF;01/02/2023;Utility Statement;Monthly;944289.16667
LBDF;01/03/2023;Utility Statement;Monthly;2703568.16667
LBDF;01/04/2023;Utility Statement;Monthly;1303470.0
LBDF;01/05/2023;Utility Statement;Monthly;1926629.91667
LBDF;01/06/2023;Utility Statement;Monthly;831040.33333
LDTE;01/01/2023;Utility Statement;Monthly;1814138.16667
LDTE;01/02/2023;Utility Statement;Monthly;1006110.83333
LDTE;01/03/2023;Utility Statement;Monthly;2476104.0
LDTE;01/04/2023;Utility Statement;Monthly;1194653.41667
LDTE;01/05/2023;Utility Statement;Monthly;2378263.83333
LDTE;01/06/2023;Utility Statement;Monthly;1005552.91667
LEMO;01/01/2023;Utility Statement;Monthly;4074005.5
LEMO;01/02/2023;Utility Statement;Monthly;2118124.83333
LEMO;01/03/2023;Utility Statement;Monthly;3736919.16667
LEMO;01/04/2023;Utility Statement;Monthly;2448338.41667
LEMO;01/05/2023;Utility Statement;Monthly;2724538.41667
LEMO;01/06/2023;Utility Statement;Monthly;1318280.75
LEPI;01/01/2023;Utility Statement;Monthly;2466411.66667
LEPI;01/02/2023;Utility Statement;Monthly;1221998.66667
LEPI;01/03/2023;Utility Statement;Monthly;2228997.25
LEPI;01/04/2023;Utility Statement;Monthly;1311127.16667
LEPI;01/05/2023;Utility Statement;Monthly;1003972.83333
LEPI;01/06/2023;Utility Statement;Monthly;710288.33333
LERO;01/01/2023;Utility Statement;Monthly;882426.5
