Plant ID;Excedance Probability;Forcast Type;January;February;March;April;May;June;July;August;September;October;November;December;Scenario;Source
NIED;P50;Generation;2463690000.0;2063090000.0;2143210000.0;1502250000.0;1362040000.0;1101650000.0;1101650000.0;1081620000.0;1261890000.0;1722580000.0;1902850000.0;2323480000.0;Management Case;RDL 2023
NIED;P75;Generation;2374169060.0;1988125310.0;2065334060.0;1447664060.0;1312548750.0;1061620310.0;1061620310.0;1042318130.0;1216037810.0;1659988130.0;1833707810.0;2239053750.0;Management Case;RDL 2023
NIPL;P50;Generation;1708989120.0;1691370620.0;1444712380.0;1603278380.0;1409475500.0;1162817250.0;1409475500.0;1515186120.0;1198054250.0;1427094000.0;1603278380.0;1444712380.0;Management Case;RDL 2023
NIPL;P75;Generation;1580962610.0;1564663980.0;1336483790.0;1483171040.0;1303886630.0;1075706440.0;1303886630.0;1401678090.0;1108303710.0;1320185270.0;1483171040.0;1336483790.0;Management Case;RDL 2023
NNG1;P50;Generation;196142400000.0;175917600000.0;176299200000.0;147679200000.0;139665600000.0;122112000000.0;118677600000.0;131270400000.0;151113600000.0;176871600000.0;180687600000.0;191563200000.0;Management Case;RDL 2023
NNG1;P90;Generation;179077600000.0;160612400000.0;160960800000.0;134830800000.0;127514400000.0;111488000000.0;108352400000.0;119849600000.0;137966400000.0;161483400000.0;164967400000.0;174896800000.0;Management Case;RDL 2023
NOUR;P50;Generation;1876342250.0;1781443000.0;1611623250.0;1285302750.0;1173754500.0;914030120.0;1027243310.0;965642000.0;1085514750.0;1436808750.0;1698198000.0;1793097250.0;Management Case;RDL 2023
NOUR;P75;Generation;1811765150.0;1720132000.0;1556156850.0;1241067150.0;1133358000.0;882572420.0;991889210.0;932408000.0;1048155150.0;1387358850.0;1639752000.0;1731385150.0;Management Case;RDL 2023
NURL;P50;Generation;2661954000.0;2283153500.0;1974731000.0;1436544380.0;1397215380.0;1190220500.0;1190220500.0;1159171250.0;1403425250.0;1674588500.0;1958171500.0;2370091250.0;Management Case;RDL 2023
NURL;P75;Generation;2534963170.0;2174233680.0;1880524740.0;1368012780.0;1330560010.0;1133440000.0;1133440000.0;1103871980.0;1336473630.0;1594700800.0;1864755230.0;2257023990.0;Management Case;RDL 2023
OUPI;P50;Generation;2115096750.0;2543470750.0;2516697500.0;2704111000.0;2088323380.0;2329283750.0;2329283750.0;1900909750.0;1793816250.0;1847363000.0;2329283750.0;2275737000.0;Management Case;RDL 2023
OUPI;P75;Generation;1956648900.0;2352932200.0;2328164610.0;2501538430.0;1931881200.0;2154790550.0;2154790550.0;1758507250.0;1659436430.0;1708971840.0;2154790550.0;2105255140.0000002;Management Case;RDL 2023
PAAN;P50;Generation;5769417500.0;5227360600.0;5597676700.0;4223750300.0;4046642600.0;3558254700.0;3670959600.0;3348945600.0;3649492000.0;4357922800.0;4674569900.0;5544007700.0;Management Case;RDL 2023
PAAN;P75;Generation;5769417500.0;5227360600.0;5597676700.0;4223750300.0;4046642600.0;3558254700.0;3670959600.0;3348945600.0;3649492000.0;4357922800.0;4674569900.0;5544007700.0;Management Case;RDL 2023
PAAN;P90;Generation;4725270000.0;4281314400.0000005;4584610800.0;3459337200.0;3314282400.0;2914282800.0;3006590400.0;2742854400.0;2989008000.0;3569227200.0;3828567600.0;4540654800.0;Management Case;RDL 2023
PAMP;P50;Generation;2943305750.0;2822312000.0;2714469500.0;2020070380.0;1825428250.0;1425622620.0;1565028500.0;1525574000.0;1657089000.0;2233124750.0;2601366750.0;2969608750.0;Management Case;RDL 2023
PAMP;P75;Generation;2668143650.0;2558461290.0;2460700710.0;1831219180.0;1654773650.0;1292344820.0;1418718000.0;1382952000.0;1502172000.0;2024355650.0;2358171650.0;2691987650.0;Management Case;RDL 2023
PASP;P50;Generation;1758774000.0;1498367000.0;1603152000.0;1164802000.0;1020116000.0;923197000.0;866421000.0;1092241000.0;1182170000.0;1448467000.0;1426021000.0;1616273000.0;Management Case;RDL 2023
PCR1;P50;Generation;2620377460.0;2376336840.0;1970678970.0;1916119480.0;2037953820.0;2428496320.0;2680424660.0;2037568090.0;1193271780.0;1369929830.0;1560320600.0;2460522140.0;Management Case;RDL 2023
PDCE;P50;Generation;2596370000.0;2396846000.0;2609160000.0;2074538000.0;2005472000.0;1527126000.0;1754788000.0;1821296000.0;1765020000.0;2161510000.0;2419868000.0;2448006000.0;Management Case;RDL 2023
PDCE;P75;Generation;2360192190.0;2178817810.0;2371818750.0;1885828440.0;1823045000.0;1388211560.0;1595164380.0;1655622500.0;1604465630.0;1964889060.0;2199745630.0;2225324060.0;Management Case;RDL 2023
PDFE;P50;Generation;2088240000.0;1775004000.0;1844612000.0;1322552000.0;1200738000.0;974512000.0;974512000.0;974512000.0;1113728000.0;1531376000.0;1635788000.0;1966426000.0;Management Case;RDL 2023
PDFE;P75;Generation;2012186250.0;1710358310.0;1777431190.0;1274384630.0;1157007090.0;939020250.0;939020250.0;939020250.0;1073166000.0;1475603250.0;1576212560.0;1894808720.0;Management Case;RDL 2023
PEMO;P50;Generation;1789905750.0;1771453000.0;1513116120.0;1679189880.0;1476210880.0;1217874000.0;1476210880.0;1586926750.0;1254779250.0;1494663500.0;1679189880.0;1513116120.0;Management Case;RDL 2023
PEMO;P75;Generation;1655788660.0;1638718570.0;1399738790.0;1553368700.0;1365598850.0;1126619070.0;1365598850.0;1468018810.0;1160759020.0;1382668820.0;1553368700.0;1399738790.0;Management Case;RDL 2023
PEZI;P50;Generation;19932284000.0;23174282000.0;22982164000.0;23606548000.0;18251248000.0;19403958000.0;20100388000.0;17050508000.0;15969842000.0;17434744000.0;21997556000.0;20244476000.0;Management Case;RDL 2023
PEZI;P75;Generation;18763899410.0;21815858950.0;21635002470.0;22222786510.0;17181401870.0;18266542660.0;18922149540.0;16051046480.0;15033726640.0;16412759450.0;20708109920.0;19057791430.0;Management Case;RDL 2023
PLAW;P50;Generation;4635531000.0;4012593000.0;3734640000.0;2929676000.0;2517081000.0;1880274000.0;1937483000.0;2491077000.0;3255013000.0;3549724000.0;3868127000.0;4388783000.0;Management Case;RDL 2023
PLEU;P50;Generation;2324948750.0;2165083750.0;1969693380.0;1529571500.0;1346022880.0;973004810.0;1140764250.0;1036161310.0;1255235380.0;1695357250.0;2101927250.0;2198635750.0;Management Case;RDL 2023
PLEU;P75;Generation;2214051120.0;2061811510.0;1875741060.0;1456612530.0;1281818990.0;926593490.0;1086350980.0;986737500.0;1195361960.0;1614490480.0;2001667510.0;2093763120.0;Management Case;RDL 2023
PLGR;P50;Generation;2391529750.0;2698269250.0;2456517000.0;2682672500.0;1863833500.0;1830040120.0;2149777250.0;1876830880.0;1557093750.0;1603884620.0;2596889250.0;2287550250.0;Management Case;RDL 2023
PLGR;P75;Generation;2277363220.0;2569459630.0;2339248120.0;2554607440.0;1774858060.0;1742677910.0;2047151470.0;1787234980.0;1482761420.0;1527318590.0;2472919300.0;2178347480.0;Management Case;RDL 2023
POUZ;P50;Generation;1434605000.0;1344755000.0;1485520000.0;1286352500.0;1215970000.0;1034772500.0;1061727500.0;1235437500.0;962892500.0;1072210000.0;1451077500.0;1389680000.0;Management Case;RDL 2023
POUZ;P75;Generation;1319890490.0;1237225110.0;1366734200.0;1183492620.0;1118738080.0;952029570.0;976829180.0;1136648910.0;885897270.0;986473480.0;1335045810.0;1278557800.0;Management Case;RDL 2023
QVA3;P50;Generation;5378400000.0;4880400000.0;4780800000.0;3884400000.0;3735000000.0;2988000000.0;3486000000.0;3187200000.0;3237000000.0;4282800000.0;4382400000.0;5577600000.0;Management Case;RDL 2023
QVA3;P75;Generation;4881600000.0;4429600000.0;4339200000.0;3525600000.0;3390000000.0;2712000000.0;3164000000.0;2892800000.0;2938000000.0;3887200000.0;3977600000.0;5062400000.0;Management Case;RDL 2023
RAM1;P50;Generation;2712572250.0;2633134250.0;2448558000.0;1726607120.0;1577076880.0;1249979500.0;1380818380.0;1313062500.0;1476611250.0;2067723000.0;2149497500.0;2628461500.0;Management Case;RDL 2023
RAM1;P75;Generation;2616661810.0;2540032560.0;2361982510.0;1665558180.0;1521315000.0;1205783040.0;1331995750.0;1266635570.0;1424401600.0;1994612970.0;2073496110.0;2535525020.0;Management Case;RDL 2023
RAM2;P50;Generation;6227850500.0;6032570000.0;5594509500.0;3868656250.0;3515041000.0;2739198500.0;3045313250.0;2886978000.0;3277538250.0;4686721000.0;4876723500.0;6027292500.0;Management Case;RDL 2023
RAM2;P75;Generation;5968912230.0;5781751000.0;5361903950.0;3707807310.0;3368894490.0;2625309560.0;2918696830.0;2766944760.0;3141266500.0;4491859000.0;4673961680.0;5776692930.0;Management Case;RDL 2023
REHO;P50;Generation;2727653000.0;2393172000.0;2432918000.0;1988045000.0;2100930000.0;1669269000.0;1449076000.0;1774475000.0;1828026000.0;2340950000.0;2570443000.0;3025043000.0;Management Case;RDL 2023
RETI;P50;Generation;5254178000.0;4619582000.0;4588533000.0;3594672000.0;3733528000.0;3039209000.0;2880131000.0;3592307000.0;3694870000.0;4613433000.0;4963896000.0;6125662000.0;Management Case;RDL 2023
RHOD;P50;Generation;4220179000.0;3688479000.0;3692759000.0;2840983000.0;2289069000.0;2170597000.0;2310398000.0;2710973000.0;3333282000.0;3803132000.0;3818281000.0;4321867000.0;Management Case;RDL 2023
RIBE;P50;Generation;2719908500.0;2519372750.0;2369547500.0;1719535380.0;1615810000.0;1214738750.0;1355344250.0;1311549120.0;1470594620.0;2030711380.0;2222027000.0;2500932750.0;Management Case;RDL 2023
RIBE;P75;Generation;2622196000.0;2428864480.0;2284421690.0;1657761210.0;1557762150.0;1171099360.0;1306653620.0;1264431820.0;1417763630.0;1957758240.0;2142200859.9999998;2411086940.0;Management Case;RDL 2023
RIOL;P50;Generation;754600000.0;816200000.0;800800000.0;616000000.0;623700000.0;523600000.0;515900000.0;554400000.0;477400000.0;600600000.0;669900000.0;746900000.0;Management Case;RDL 2023
RIOL;P75;Generation;715400000.0;773800000.0;759200000.0;584000000.0;591300000.0;496400000.0;489100000.0;525600000.0;452600000.0;569400000.0;635100000.0;708100000.0;Management Case;RDL 2023
ROAD;P50;Generation;1593085000.0;1415583000.0;1473226000.0;1002942000.0;991199000.0;767092000.0;784424000.0;927114000.0;1011980000.0;1235007000.0;1361214000.0;1737135000.0;Management Case;RDL 2023
RODU;P50;Generation;1080627120.0;1008706690.0;902191620.0;697355000.0;619061880.0;450640620.0;523471440.0;477952190.0;570811440.0;785662310.0;969560120.0;1017810620.0;Management Case;RDL 2023
RODU;P75;Generation;1043491710.0;974042800.0;871188090.0;673390610.0;597788010.0;435154500.0;505482510.0;461527510.0;551195680.0;758663270.0;936241490.0;982833880.0;Management Case;RDL 2023
