Plant ID;datetime;Value;meter;date;Date (start);Meter;Interval
SUBY;01/01/2023;29615.333333333332;SUBY-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
TLGR;01/01/2023;4623357.0;TLGR-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
VANA;01/01/2023;2003953.1666666667;VANA-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
VARA;01/01/2023;2806457.3333333335;VARA-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
VEUL;01/01/2023;3098180.0;VEUL-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CDBO;01/01/2023;3196667.3333333335;CDBO-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
VISE;01/01/2023;1579567.0;VISE-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
TRFR;01/02/2023;1008393.1666666666;TRFR-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
SOUR;01/02/2023;2053653.6666666667;SOUR-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
SOUR;01/02/2023;1673451.1666666667;SOUR-SS02-P;2023-02-01;01/02/2023;Utility Statement;Monthly
AUQB;01/02/2023;1205276.5;AUQB-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
QVA3;01/02/2023;1791270.0;QVA3-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
QVA3;01/02/2023;1085447.1666666667;QVA3-SS02-P;2023-02-01;01/02/2023;Utility Statement;Monthly
ALVI;01/02/2023;2674947.3333333335;ALVI-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
AMBE;01/02/2023;739429.0;AMBE-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
AMEL;01/02/2023;2211153.1666666665;AMEL-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
ANPA;01/02/2023;1780346.8333333333;ANPA-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
SAMI;01/02/2023;1032481.6666666666;SAMI-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
ARAM;01/02/2023;392620.1666666667;ARAM-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
ARTI;01/02/2023;352388.1666666667;ARTI-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
AUM3;01/02/2023;1678906.5;AUM3-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
BAMB;01/02/2023;1880857.5;BAMB-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
BTS1;01/02/2023;1986789.5;BTS1-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
BTS2;01/02/2023;1887287.1666666667;BTS2-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
BVER;01/02/2023;1125063.5;BVER-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
BDBS;01/02/2023;3118394.5;BDBS-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
BDBS;01/02/2023;765367.0;BDBS-SS02-P;2023-02-01;01/02/2023;Utility Statement;Monthly
BLAU;01/02/2023;273961.0;BLAU-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
BARB;01/02/2023;1034069.1666666666;BARB-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
BOUS;01/02/2023;1400020.0;BOUS-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
BRIY;01/02/2023;847319.5;BRIY-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CAMB;01/02/2023;2762890.3333333335;CAMB-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CASH;01/02/2023;1783581.1666666667;CASH-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
DIJO;01/02/2023;1047282.8333333334;DIJO-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CHAG;01/02/2023;301047.5;CHAG-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CHGO;01/02/2023;1412417.8333333333;CHGO-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CHGO;01/02/2023;1032702.8333333334;CHGO-SS02-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CEP1;01/02/2023;2122582.3333333335;CEP1-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CEP2;01/02/2023;1685459.1666666667;CEP2-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CLA2;01/02/2023;339500.1666666667;CLA2-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CLA2;01/02/2023;342805.3333333333;CLA2-SS02-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CLAM;01/02/2023;1411172.8333333333;CLAM-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CLAN;01/02/2023;1357369.3333333333;CLAN-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CLAN;01/02/2023;1268860.3333333333;CLAN-SS02-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CLIT;01/02/2023;390755.3333333333;CLIT-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CONI;01/02/2023;2680050.0;CONI-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
AUCO;01/02/2023;1344169.5;AUCO-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
COUR;01/02/2023;1335015.1666666667;COUR-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
DEM1;01/02/2023;1783701.8333333333;DEM1-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
DEM2;01/02/2023;2256355.5;DEM2-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
ERIZ;01/02/2023;1807838.5;ERIZ-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
ESPI;01/02/2023;1119386.8333333333;ESPI-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
ESPS;01/02/2023;1871794.0;ESPS-SS02-P;2023-02-01;01/02/2023;Utility Statement;Monthly
FECA;01/02/2023;792897.3333333334;FECA-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
FEND;01/02/2023;425572.6666666667;FEND-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
FIEN;01/02/2023;2131732.3333333335;FIEN-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
FITO;01/02/2023;1758542.0;FITO-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
CEFF;01/02/2023;1480264.0;CEFF-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
FOSS;01/02/2023;1008273.8333333334;FOSS-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
FREY;01/02/2023;2600230.3333333335;FREY-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
GAB1;01/02/2023;914604.6666666666;GAB1-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
GAB4;01/02/2023;957798.0;GAB4-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
GAB7;01/02/2023;236024.83333333334;GAB7-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
GABT;01/02/2023;205673.16666666666;GABT-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
GAR1;01/02/2023;1402114.6666666667;GAR1-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
GAR2;01/02/2023;1234911.1666666667;GAR2-SS01-P;2023-02-01;01/02/2023;Utility Statement;Monthly
