Plant ID;Date (start);Interval;Meter;Value
LDTE;01/03/2022;Monthly;OEM Availability;98.43591
MACH;01/03/2022;Monthly;OEM Availability;99.22501
TRAY;01/03/2022;Monthly;OEM Availability;98.45467
PLAN;01/03/2022;Monthly;OEM Availability;99.804
LBDF;01/04/2022;Monthly;OEM Availability;90.60412
LDTE;01/04/2022;Monthly;OEM Availability;93.31884
MACH;01/04/2022;Monthly;OEM Availability;92.27274
TRAY;01/04/2022;Monthly;OEM Availability;95.55457
PLAN;01/04/2022;Monthly;OEM Availability;98.361
LBDF;01/05/2022;Monthly;OEM Availability;96.60465
LDTE;01/05/2022;Monthly;OEM Availability;98.97752
MACH;01/05/2022;Monthly;OEM Availability;92.52752
TRAY;01/05/2022;Monthly;OEM Availability;94.5597
PLAN;01/05/2022;Monthly;OEM Availability;99.494
LBDF;01/06/2022;Monthly;OEM Availability;97.79161
LDTE;01/06/2022;Monthly;OEM Availability;97.94053
MACH;01/06/2022;Monthly;OEM Availability;82.07254
TRAY;01/06/2022;Monthly;OEM Availability;68.71583
PLAN;01/06/2022;Monthly;OEM Availability;99.361
LBDF;01/07/2022;Monthly;OEM Availability;98.15743
LDTE;01/07/2022;Monthly;OEM Availability;99.2673
MACH;01/07/2022;Monthly;OEM Availability;92.4739
TRAY;01/07/2022;Monthly;OEM Availability;85.1782
PLAN;01/07/2022;Monthly;OEM Availability;99.605
LBDF;01/08/2022;Monthly;OEM Availability;95.71809
LDTE;01/08/2022;Monthly;OEM Availability;98.88849
MACH;01/08/2022;Monthly;OEM Availability;94.01772
TRAY;01/08/2022;Monthly;OEM Availability;92.83449
PLAN;01/08/2022;Monthly;OEM Availability;98.858
LBDF;01/09/2022;Monthly;OEM Availability;99.40501
LDTE;01/09/2022;Monthly;OEM Availability;97.47106
MACH;01/09/2022;Monthly;OEM Availability;95.49245
TRAY;01/09/2022;Monthly;OEM Availability;87.74994
PLAN;01/09/2022;Monthly;OEM Availability;99.796
LBDF;01/10/2022;Monthly;OEM Availability;98.26922
LDTE;01/10/2022;Monthly;OEM Availability;99.30454
MACH;01/10/2022;Monthly;OEM Availability;86.93517
TRAY;01/10/2022;Monthly;OEM Availability;79.63941
PLAN;01/10/2022;Monthly;OEM Availability;99.127
LBDF;01/11/2022;Monthly;OEM Availability;97.33042
LDTE;01/11/2022;Monthly;OEM Availability;96.38032
MACH;01/11/2022;Monthly;OEM Availability;91.41822
TRAY;01/11/2022;Monthly;OEM Availability;99.61419
PLAN;01/11/2022;Monthly;OEM Availability;99.278
LBDF;01/12/2022;Monthly;OEM Availability;98.40865
LDTE;01/12/2022;Monthly;OEM Availability;99.93239
