Date (start);Interval;Meter;Value;Plant ID
01/06/2022;Monthly;Consumption;-2274.074;JONC-ECP001-METER001
01/06/2022;Monthly;Consumption;4695.511;ROUS-ECP0001-METER001
01/06/2022;Monthly;Consumption;48215.749;VARA-ECP001-METER001
01/07/2022;Monthly;Consumption;2810.107;BVER-ECP001-METER001
01/07/2022;Monthly;Consumption;-160446.074;CHPI-ECP001-METER001
01/07/2022;Monthly;Consumption;13.333;FIEN-ECP001-METER001
01/07/2022;Monthly;Consumption;6241.937;JAVI-ECP001-METER001
01/07/2022;Monthly;Consumption;-6001.738;JONC-ECP001-METER001
01/07/2022;Monthly;Consumption;6984.613;ROUS-ECP0001-METER001
01/07/2022;Monthly;Consumption;74614.522;VARA-ECP001-METER001
01/08/2022;Monthly;Consumption;3242.236;BVER-ECP001-METER001
01/08/2022;Monthly;Consumption;-194408.944;CHPI-ECP001-METER001
01/08/2022;Monthly;Consumption;4.834;FIEN-ECP001-METER001
01/08/2022;Monthly;Consumption;51476.329;JAVI-ECP001-METER001
01/08/2022;Monthly;Consumption;-6210.315;JONC-ECP001-METER001
01/08/2022;Monthly;Consumption;9857.139;ROUS-ECP0001-METER001
01/08/2022;Monthly;Consumption;61309.659;VARA-ECP001-METER001
01/09/2022;Monthly;Consumption;2779.84;BVER-ECP001-METER001
01/09/2022;Monthly;Consumption;-169875.202;CHPI-ECP001-METER001
01/09/2022;Monthly;Consumption;7.501;FIEN-ECP001-METER001
01/09/2022;Monthly;Consumption;25445.896;JAVI-ECP001-METER001
01/09/2022;Monthly;Consumption;-4433.445;JONC-ECP001-METER001
01/09/2022;Monthly;Consumption;15060.284;ROUS-ECP0001-METER001
01/09/2022;Monthly;Consumption;74562.846;VARA-ECP001-METER001
01/10/2022;Monthly;Consumption;1128.553;BVER-ECP001-METER001
01/10/2022;Monthly;Consumption;-76847.962;CHPI-ECP001-METER001
01/10/2022;Monthly;Consumption;21.5;FIEN-ECP001-METER001
01/10/2022;Monthly;Consumption;51940.357;JAVI-ECP001-METER001
