Plant ID;Date (start);Interval;Meter;Value
CHPI-ECP001-METER001;01/06/2020;Monthly;Forecast Generation;10476900.0
CHPI-ECP001-METER001;01/07/2020;Monthly;Forecast Generation;9978000.0
CHPI-ECP001-METER001;01/08/2020;Monthly;Forecast Generation;9978000.0
CHPI-ECP001-METER001;01/09/2020;Monthly;Forecast Generation;11641000.0
CHPI-ECP001-METER001;01/10/2020;Monthly;Forecast Generation;14634400.0
CHPI-ECP001-METER001;01/11/2020;Monthly;Forecast Generation;15133300.0
CHPI-ECP001-METER001;01/12/2020;Monthly;Forecast Generation;17295200.0
LEMO-ECP001-METER001;01/01/2020;Monthly;Forecast Generation;4254480.0
LEMO-ECP001-METER001;01/02/2020;Monthly;Forecast Generation;2771010.0
LEMO-ECP001-METER001;01/03/2020;Monthly;Forecast Generation;3184640.0
LEMO-ECP001-METER001;01/04/2020;Monthly;Forecast Generation;2338720.0
LEMO-ECP001-METER001;01/05/2020;Monthly;Forecast Generation;2267190.0
LEMO-ECP001-METER001;01/06/2020;Monthly;Forecast Generation;1887770.0
LEMO-ECP001-METER001;01/07/2020;Monthly;Forecast Generation;2121020.0
LEMO-ECP001-METER001;01/08/2020;Monthly;Forecast Generation;2033940.0
LEMO-ECP001-METER001;01/09/2020;Monthly;Forecast Generation;2061930.0
LEMO-ECP001-METER001;01/10/2020;Monthly;Forecast Generation;2531540.0
LEMO-ECP001-METER001;01/11/2020;Monthly;Forecast Generation;2475560.0
LEMO-ECP001-METER001;01/12/2020;Monthly;Forecast Generation;3172200.0
SALL-ECP001-METER001;01/01/2020;Monthly;Forecast Generation;1955636.4
SALL-ECP001-METER001;01/02/2020;Monthly;Forecast Generation;1582399.8
SALL-ECP001-METER001;01/03/2020;Monthly;Forecast Generation;1641007.2
SALL-ECP001-METER001;01/04/2020;Monthly;Forecast Generation;1363393.2
SALL-ECP001-METER001;01/05/2020;Monthly;Forecast Generation;996325.8
SALL-ECP001-METER001;01/06/2020;Monthly;Forecast Generation;936176.1
SALL-ECP001-METER001;01/07/2020;Monthly;Forecast Generation;829757.4
SALL-ECP001-METER001;01/08/2020;Monthly;Forecast Generation;829757.4
SALL-ECP001-METER001;01/09/2020;Monthly;Forecast Generation;987072.0
SALL-ECP001-METER001;01/10/2020;Monthly;Forecast Generation;1286278.2
SALL-ECP001-METER001;01/11/2020;Monthly;Forecast Generation;1366477.8
SALL-ECP001-METER001;01/12/2020;Monthly;Forecast Generation;1648718.7
JON2-ECP001-METER001;01/01/2020;Monthly;Forecast Generation;2246786.1
JON2-ECP001-METER001;01/02/2020;Monthly;Forecast Generation;1430702.0
JON2-ECP001-METER001;01/03/2020;Monthly;Forecast Generation;1570852.4
JON2-ECP001-METER001;01/04/2020;Monthly;Forecast Generation;956234.5
JON2-ECP001-METER001;01/05/2020;Monthly;Forecast Generation;931416.2
JON2-ECP001-METER001;01/06/2020;Monthly;Forecast Generation;874480.1
JON2-ECP001-METER001;01/07/2020;Monthly;Forecast Generation;789805.9
JON2-ECP001-METER001;01/08/2020;Monthly;Forecast Generation;788346.0
JON2-ECP001-METER001;01/09/2020;Monthly;Forecast Generation;935795.9
JON2-ECP001-METER001;01/10/2020;Monthly;Forecast Generation;1216096.7
JON2-ECP001-METER001;01/11/2020;Monthly;Forecast Generation;1296391.2
JON2-ECP001-METER001;01/12/2020;Monthly;Forecast Generation;1562093.0
FIEN-ECP001-METER001;01/01/2021;Monthly;Forecast Generation;3165069.1281
FIEN-ECP001-METER001;01/02/2021;Monthly;Forecast Generation;2931463.6659
FIEN-ECP001-METER001;01/03/2021;Monthly;Forecast Generation;2247740.3619
FIEN-ECP001-METER001;01/04/2021;Monthly;Forecast Generation;2478496.977
FIEN-ECP001-METER001;01/05/2021;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/06/2021;Monthly;Forecast Generation;2008437.2055
FIEN-ECP001-METER001;01/07/2021;Monthly;Forecast Generation;2019832.5939
FIEN-ECP001-METER001;01/08/2021;Monthly;Forecast Generation;1606749.7644
FIEN-ECP001-METER001;01/09/2021;Monthly;Forecast Generation;1988495.2758
FIEN-ECP001-METER001;01/10/2021;Monthly;Forecast Generation;2777625.9225
FIEN-ECP001-METER001;01/11/2021;Monthly;Forecast Generation;2467101.5886
FIEN-ECP001-METER001;01/12/2021;Monthly;Forecast Generation;2789021.3109
BVER-ECP001-METER001;01/01/2021;Monthly;Forecast Generation;2565539.0
BVER-ECP001-METER001;01/02/2021;Monthly;Forecast Generation;2541562.0
BVER-ECP001-METER001;01/03/2021;Monthly;Forecast Generation;2205884.0
BVER-ECP001-METER001;01/04/2021;Monthly;Forecast Generation;1918160.0
BVER-ECP001-METER001;01/05/2021;Monthly;Forecast Generation;2325769.0
BVER-ECP001-METER001;01/06/2021;Monthly;Forecast Generation;1606459.0
BVER-ECP001-METER001;01/07/2021;Monthly;Forecast Generation;1654413.0
BVER-ECP001-METER001;01/08/2021;Monthly;Forecast Generation;1390666.0
